,count,mean,std,min,25%,50%,75%,max
CustAccountBalance,667767.0,114895.04992987076,754455.3815735923,0.0,4653.45,17019.0,58754.1,115035495.1
TransactionAmount (INR),667767.0,1581.7143479686774,6734.090638141682,0.0,160.0,460.0,1200.0,1560034.99
